"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="142049687883048749","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易关闭","CLC1180101250025"
="154831513373785014","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易关闭","CLC1180101250025"
="141921837982908056","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="154779041741311614","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="156534571423627795","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="154782680159591713","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="141888518923074145","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="156520372845987670","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="155014103683751519","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="141750196781829954","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","第二次买了，好甜","交易成功","CLC1180101250025"
="141894595541625846","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="156388185894869894","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="156460956892956981","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="156459444626986261","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="154669168454473306","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="141818462424259849","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="154663876636201325","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="141815158704976953","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="154650736948144604","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="141814234671404444","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="154963983443670909","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="156363797772182190","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="154596565917630028","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="156362231083015473","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="141770385128825050","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="154627504429136410","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="141849347911991545","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="156339915843149362","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="156400896358330079","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="156395184885431886","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="156312083755839796","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
