商户订单号,发生时间,收入金额（+元）,支出金额（-元）,帐务类型,备注
180403-530926144001842,2018/4/7 21:06,0.63,0,优惠券结算,交易成功优惠券支付金额结算
180404-388786803841781,2018/4/7 21:05,0,-10,优惠券结算,退款补用户优惠券
180404-388786803841781,2018/4/7 21:05,10,0,优惠券结算,交易成功优惠券支付金额结算
180407-455872079364041,2018/4/7 21:04,0,-3,优惠券结算,退款扣除优惠券支付金额
180407-455872079364041,2018/4/7 21:04,3,0,优惠券结算,交易成功优惠券支付金额结算
180404-313173834880984,2018/4/7 20:52,0.71,0,优惠券结算,交易成功优惠券支付金额结算
180406-454387893760421,2018/4/7 20:27,0,-3,优惠券结算,退款补用户优惠券
180406-454387893760421,2018/4/7 20:27,3,0,优惠券结算,交易成功优惠券支付金额结算
180407-473043643522434,2018/4/7 20:25,0,-3,优惠券结算,退款扣除优惠券支付金额
180407-473043643522434,2018/4/7 20:25,3,0,优惠券结算,交易成功优惠券支付金额结算
180404-404514316802101,2018/4/7 19:54,0.76,0,优惠券结算,交易成功优惠券支付金额结算
180405-268200466563031,2018/4/7 19:01,10,0,优惠券结算,交易成功优惠券支付金额结算
180403-451266993921933,2018/4/7 18:03,3,0,优惠券结算,交易成功优惠券支付金额结算
180404-323769885442676,2018/4/7 18:03,0,-0.5,优惠券结算,退款扣除优惠券支付金额
180404-323769885442676,2018/4/7 18:03,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180405-230122837121971,2018/4/7 17:18,0.72,0,优惠券结算,交易成功优惠券支付金额结算
180407-394800397440906,2018/4/7 16:54,0,-0.77,优惠券结算,退款扣除优惠券支付金额
180407-394800397440906,2018/4/7 16:54,0.77,0,优惠券结算,交易成功优惠券支付金额结算
180404-497624610561654,2018/4/7 16:32,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180330-516063112963529,2018/4/7 15:02,5,0,优惠券结算,交易成功优惠券支付金额结算
180405-235109343361223,2018/4/7 13:20,10,0,优惠券结算,交易成功优惠券支付金额结算
180403-515557932162749,2018/4/7 13:02,3,0,优惠券结算,交易成功优惠券支付金额结算
180403-234318877440307,2018/4/7 12:17,2.18,0,优惠券结算,交易成功优惠券支付金额结算
